#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-apps,"contains program utilities for x.  Is a group."
R,xorg-xwininfo,"allows querying information about windows. Is part of xorg-apps."
R,xorg-xbacklight,"enables changing screen brightness levels. Is part of xorg-apps."
R,xorg-xdpyinfo,"aids with resolution determination and screen recording. Is part of xorg-apps."
R,xorg-xprop,"is a tool for detecting window properties. Is part of xorg-apps."
,gvim,"is an improved version of the vi text editor. Includes a gui."
,xorg-xfontsel,"is a utility for working with XLFD x logical font description. Preview."
,xorg-xlsfonts,"is a utility for working with XLFD x logical font description. List fonts by name."
,xorg-xfd,"is a utility. Displays all the characters in a font using either the X11 core protocol or libXft2."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line. Larbs i3."
,xdo,"is used to position lemonbar. By the author of bspwm"
,ttf-inconsolata,"is the monospace font of LARBS."
,noto-fonts-emoji,"is an emoji font."
,powerline-fonts,"TODO remove provides the otf-powerline-symbos."
,awesome-terminal-fonts,"TODO remove provides fonts and icons for powerlines."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS. Opentype with large unicode converage."
,gnu-free-fonts,"provides the ttf-font virtual package needed by firefox and is a free family of scalable outline fonts. There are more choices.."
,sysstat,"is a collection of performance monitoring tools. Used in lemonbar."
,wireless_tools,"are tools allowing to manipulate the Wireless Extensions. Used in lemonbar."
,bc,"is used for a dropdown calculator. Is used by lemonbar."
,terminus-font,"is the XLFD font used by lemonbar."
,xorg-xinit,"starts the graphical server."
,sxhkd,"binds keys."
,bspwm,"is the window manager."
,unclutter,"hides an inactive mouse."
,tree,"is a directory listing program displaying a depth indented list of files"
,fd,"is a simple, fast and user-friendly alternative to find. Configured for fzf"
,fzf,"is a fuzzy finder tool."
,ripgrep,"is a search tool that combines the usability of ag with the raw speed of grep."
,openssh,"is a premier connectivity tool for remote login with the SSH protocol "
,termite,"is the terminal in use."
,xterm,"is a terminal for backup. Investigate."
,rxvt-unicode,"is a terminal for backup. Investigate."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser which can also view images."
,python-pywal,"generates and changes colorschemes on the fly."
,gnome-keyring,"serves as the system keyring.Needed by nextcloud-client. Using nextcloud-client appimage..."
,seahorse,"serves as the frontend for gnome-keyring."
,sxiv,"is a minimalist image viewer."
,dosfstools,"allows your computer to access dos-like filesystems."
,mtools,"is a collection of utilities to access MS-DOS disks."
,xwallpaper,"sets the wallpaper."
,maim,"can take quick screenshots at your request."
,picom,"is for transparency and removing screen-tearing."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions. Ranger optional. Libreoffice required."
,mediainfo,"shows audio and video information. Ranger optional."
,atool,"manages and gives information about archives. Ranger optional."
,highlight,"can highlight code output. Ranger optional."
,libcaca,"is for ASCII-art image previews. Ranger optional."
,vifm,"Is an interesting alternative to ranger"
,ffmpeg,"can record and splice video and audio on the command line."
,alsa-utils,"is an audio interface for ALSA."
,firejail,"is a linux namespaces sandbox program."
,firetools,"is the graphical user interface of Firejail."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,dmenu,"runs commands and provides a UI for selection."
,zsh,"is the interactive shell."
,zsh-doc,"provides docmentation for zsh."
R,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell.Installed with zgen from github."
,firefox,"is a browser."
,lxappearance-gtk3,"is a feature-rich theme switcher."
,keepassxc,"is a community-driven port of Keepass password manager. Qt based."
,pass,"is the standard unix password manager."
,calibre-python3,"is an ebook management application (experimental python3 port). Heavy GUI."
,libreoffice-fresh,"is a powerful and free office suite."
,pulseaudio,"is a featureful, general-purpose sound server."
,pulseaudio-alsa,"provides ALSA Configuration for PulseAudio."
,pavucontrol,"is a pulse audio volume control gui."
,fsarchiver,"is a safe and flexible file-system backup and deployment tool"
,samba,"is a SMB Fileserver and AD Domain server."
,openresolv,"is a resolv.conf management framework.Needed for wireguard."
,wireguard-tools,"is a next generation secure network tunnel."
,wireguard-lts,"is wireguard for linux lts."
,openresolv,"is a resolv.conf management framework. Used by wireguard."
,qrencode,"encodes data in a QR code symbol."
,nextcloud-client,"is a client app for the Nextcloud server"
,thunderbird,"is a standalone mail and news reader from mozilla.org."
,docker,"packs, ships and runs any application as a lightweight container."
,docker-compose,"is a fast, isolated development environment using Docker."
,net-tools,"are configuration tools for Linux networking."
,qemu,"is a generic and open source machine emulator and virtualizer. On arch enable kvm."
,dnsmasq,"is a lightweight, easy to configure DNS forwarder and DHCP server. Is optional for virt-manager for default NAT/DHCP for guests"
,ebtables,"are ethernet bridge filtering utilities. Is optional for virt-manager for default NAT networking"
,openbsd-netcat,"is a TCP/IP swiss army knife. OpenBSD variant. Is optional for virt-manager for remote management over ssh."
,dmidecode,"are desktop management interface table related utilities and keeps libvirt daemon from complaining."
,virt-manager,"is a desktop user interface for managing virtual machines. Requires and installs libvirt an api for controlling virtualizatoin engines"
A,polybar,"is a fast and easy-to-use status bar."
A,ranger-git,"is an extensive terminal file manager that everyone likes. Most of the optional deps are installed. Todo as of 1.9.3 ranger ueberzug support."
A,python-ueberzug,"TODO replaced by community ueberzug...generates image previews in ranger and other terminal programs."
A,tig,"is a text-mode interface for git. Aur. Ncurses."
A,simple-mtpfs-git,"enables the mounting of cell phones."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,lemonbar-git,"is the status bar."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
A,google-chrome,"is a browser made by google. Necessary for chromecast."
A,tutanota-desktop-bin,"is an open source mail client from Tutanota."
T,https://github.com/abeldekat/dmenu.git,"runs commands and provides a UI for selection."
T,https://github.com/abeldekat/st.git,"is my custom build of suckless's terminal emulator."
T,https://gitlab.com/protesilaos/tempus-themes.git "is a collection of themes for Vim, text editors, and terminal emulators."
T,libnotify,"allows desktop notifications."
T,dunst,"is a suckless notification system."
T,exfat-utils,"allows management of FAT drives."
T,mpd,"is a lightweight music daemon."
T,mpc,"is a terminal interface for mpd."
T,mpv,"is the patrician's choice video player."
T,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
T,newsboat,"is a terminal RSS client."
T,ntfs-3g,"allows accessing NTFS partitions."
T,arandr,"is a UI for screen adjustment.Provide a simple visual front end for XRandR. Not in use yet."
T,calcurse,"is a lightweight terminal-based calendar.At the moment a calendar is not required."
T,nerd-fonts-inconsolata,"AUR TODO provides extra symbols."
T,slock,"allows you to lock your computer, and quickly unlock with your password."
T,zsh-lovers,"is a collection of tips, tricks and examples for the Z shell."
T,libxft-bgra,"helps rendering color emojis in suckless software. Aur. St..Todo libxft-bgra will remove: libxft"
T,task-spooler,"queues commands or files for download. aur"
T,socat,"is a socket utility."
