#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-apps,"contains program utilities for x.  Is a group."
R,xorg-xwininfo,"allows querying information about windows. Is part of xorg-apps."
R,xorg-xbacklight,"enables changing screen brightness levels. Is part of xorg-apps."
R,xorg-xdpyinfo,"aids with resolution determination and screen recording. Is part of xorg-apps."
R,xorg-xprop,"is a tool for detecting window properties. Is part of xorg-apps."
,xorg-xinit,"starts the graphical server."
,xorg-xfontsel,"is a utility for working with XLFD x logical font description. Preview."
,xorg-xlsfonts,"is a utility for working with XLFD x logical font description. List fonts by name."
,xorg-xfd,"is a utility. Displays all the characters in a font using either the X11 core protocol or libXft2."
,xorg-fonts-alias,"is an optional dependency for the terminus font. Contains X.org font alias files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line. Larbs i3."
,xdo,"is used to position lemonbar. By the author of bspwm"
,terminus-font,"is the XLFD font used by lemonbar."
A,siji-git,"is the icon font used by lemonbar."
,ttf-inconsolata,"is the monospace font of LARBS."
T,nerd-fonts-inconsolata,"AUR TODO provides extra symbols."
,noto-fonts-emoji,"is an emoji font."
H,libxft-bgra,"helps rendering color emojis in suckless software. Aur. St..Todo libxft-bgra will remove: libxft"
,powerline-fonts,"TODO remove provides the otf-powerline-symbos."
,awesome-terminal-fonts,"TODO remove provides fonts and icons for powerlines."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS. Opentype with large unicode converage."
,gnu-free-fonts,"provides the ttf-font virtual package needed by firefox and is a free family of scalable outline fonts. There are more choices.."
,sysstat,"is a collection of performance monitoring tools. Used in lemonbar."
,wireless_tools,"are tools allowing to manipulate the Wireless Extensions. Used in lemonbar."
A,lemonbar-git,"is the status bar."
,sxhkd,"binds keys."
,bspwm,"is the window manager."
,xwallpaper,"sets the wallpaper."
,python-pywal,"generates and changes colorschemes on the fly."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions. Ranger optional. Libreoffice required."
,mediainfo,"shows audio and video information. Ranger optional."
,atool,"manages and gives information about archives. Ranger optional."
,highlight,"can highlight code output. Ranger optional."
,libcaca,"is for ASCII-art image previews. Ranger optional."
A,ranger-git,"is an extensive terminal file manager that everyone likes. Most of the optional deps are installed. Todo as of 1.9.3 ranger ueberzug support."
,vifm,"Is an interesting alternative to ranger"
R,arandr,"is a UI for screen adjustment.Provide a simple visual front end for XRandR. Not in use yet."
,bc,"is used for a dropdown calculator. Is used by lemonbar."
R,calcurse,"is a lightweight terminal-based calendar.At the moment a calendar is not required."
D,xcompmgr,"is for transparency and removing screen-tearing."
,picom,"is for transparency and removing screen-tearing."
,sxiv,"is a minimalist image viewer."
T,dosfstools,"allows your computer to access dos-like filesystems."
T,libnotify,"allows desktop notifications."
T,dunst,"is a suckless notification system."
T,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring.Needed by nextcloud-client. Using nextcloud-client appimage..."
,seahorse,"serves as the frontend for gnome-keyring."
R,neovim,"a tidier vim with some useful features"
,gvim,"is an improved version of the vi text editor. Includes a gui."
T,mpd,"is a lightweight music daemon."
T,mpc,"is a terminal interface for mpd."
T,mpv,"is the patrician's choice video player."
T,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
T,newsboat,"is a terminal RSS client."
T,ntfs-3g,"allows accessing NTFS partitions."
,alsa-utils,"is an audio interface for ALSA."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
T,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser which can also view images."
,firejail,"is a linux namespaces sandbox program."
,firetools,"is the graphical user interface of Firejail."
H,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,python-ueberzug,"generates image previews in ranger and other terminal programs."
,fzf,"is a fuzzy finder tool."
H,task-spooler,"queues commands or files for download. aur"
T,simple-mtpfs,"enables the mounting of cell phones.Todo aur"
,dmenu,"runs commands and provides a UI for selection."
T,slock,"allows you to lock your computer, and quickly unlock with your password."
,zsh,"is the interactive shell."
,zsh-doc,"provides docmentation for zsh."
R,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell.Installed with zgen from github."
T,zsh-lovers,"is a collection of tips, tricks and examples for the Z shell."
,tree,"is a directory listing program displaying a depth indented list of files"
,fd,"is a simple, fast and user-friendly alternative to find. Configured for fzf"
,ripgrep,"is a search tool that combines the usability of ag with the raw speed of grep."
,openssh,"is a premier connectivity tool for remote login with the SSH protocol "
,termite,"is the terminal in use."
,xterm,"is a terminal for backup. Investigate."
,rxvt-unicode,"is a terminal for backup. Investigate."
,firefox,"is a browser."
,lxappearance-gtk3,"is a feature-rich theme switcher."
,keepassxc,"is a community-driven port of Keepass password manager. Qt based."
,calibre-python3,"is an ebook management application (experimental python3 port). Heavy GUI."
,libreoffice-fresh,"is a powerful and free office suite."
T,https://github.com/abeldekat/dmenu.git,"runs commands and provides a UI for selection."
T,https://github.com/abeldekat/st.git,"is my custom build of suckless's terminal emulator."
T,https://github.com/andreafabrizi/Dropbox-Uploader.git,"is a BASH script which can be used to upload, download, list or delete files from Dropbox."
T,https://gitlab.com/protesilaos/tempus-themes.git "is a collection of themes for Vim, text editors, and terminal emulators."
R,cgit,"is a web interface for git written in plain C. Community. Needs a web server."
A,tig,"is a text-mode interface for git. Aur. Ncurses."
A,simple-mtpfs-git,"enables the mounting of cell phones."
,pavucontrol,"is a pulse audio volume control gui."
,wireguard-tools,"is a next generation secure network tunnel."
,openresolv,"."
,xorg-apps,"contains program utilities for x.  Is a group."
R,xorg-xwininfo,"allows querying information about windows. Is part of xorg-apps."
R,xorg-xbacklight,"enables changing screen brightness levels. Is part of xorg-apps."
R,xorg-xdpyinfo,"aids with resolution determination and screen recording. Is part of xorg-apps."
R,xorg-xprop,"is a tool for detecting window properties. Is part of xorg-apps."
,xorg-xinit,"starts the graphical server."
,xorg-xfontsel,"is a utility for working with XLFD x logical font description. Preview."
,xorg-xlsfonts,"is a utility for working with XLFD x logical font description. List fonts by name."
,xorg-xfd,"is a utility. Displays all the characters in a font using either the X11 core protocol or libXft2."
,xorg-fonts-alias,"is an optional dependency for the terminus font. Contains X.org font alias files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line. Larbs i3."
,xdo,"is used to position lemonbar. By the author of bspwm"
,terminus-font,"is the XLFD font used by lemonbar."
A,siji-git,"is the icon font used by lemonbar."
,ttf-inconsolata,"is the monospace font of LARBS."
T,nerd-fonts-inconsolata,"AUR TODO provides extra symbols."
,noto-fonts-emoji,"is an emoji font."
H,libxft-bgra,"helps rendering color emojis in suckless software. Aur. St..Todo libxft-bgra will remove: libxft"
,powerline-fonts,"TODO remove provides the otf-powerline-symbos."
,awesome-terminal-fonts,"TODO remove provides fonts and icons for powerlines."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS. Opentype with large unicode converage."
,gnu-free-fonts,"provides the ttf-font virtual package needed by firefox and is a free family of scalable outline fonts. There are more choices.."
,sysstat,"is a collection of performance monitoring tools. Used in lemonbar."
,wireless_tools,"are tools allowing to manipulate the Wireless Extensions. Used in lemonbar."
A,lemonbar-git,"is the status bar."
,sxhkd,"binds keys."
,bspwm,"is the window manager."
,xwallpaper,"sets the wallpaper."
,python-pywal,"generates and changes colorschemes on the fly."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions. Ranger optional. Libreoffice required."
,mediainfo,"shows audio and video information. Ranger optional."
,atool,"manages and gives information about archives. Ranger optional."
,highlight,"can highlight code output. Ranger optional."
,libcaca,"is for ASCII-art image previews. Ranger optional."
